datetime,service,total_rideshare_cost_mean,trip_count,trip_miles_mean,trip_time_mean,tips_mean,congestion_surcharge_mean,is_weekend_mode,temp,feelslike,precip,snow,windspeed,cloudcover,visibility,uvindex,conditions
2024-06-23 13:00:00,uber,54.93006578683462,24929,5.0492787516547,1217.2830037305948,1.3064515223233983,1.1133820048938987,True,92,98,0.0,0.0,5,37,9,6,1
2024-06-23 14:00:00,uber,55.912079053235956,25603,5.146855837206578,1274.711908760692,1.2789864469007537,1.0715638792329023,True,91,97,0.0,0.0,2,15,9,4,2
2024-06-23 15:00:00,uber,55.532314854661394,25561,5.181677946872188,1284.598841985838,1.213979891240562,0.9965865967685146,True,90,95,0.0,0.0,8,56,9,1,1
2024-06-23 16:00:00,uber,56.405838166362116,25174,5.224699690156511,1308.03432112497,1.2727762771113054,1.101424088345118,True,89,93,0.0,0.0,5,88,9,4,1
2024-06-23 17:00:00,uber,54.61819830050514,25537,5.086576340212241,1266.305791596507,1.213621412068763,1.143213768257822,True,90,92,0.0,0.0,2,56,9,2,1
2024-06-23 18:00:00,uber,51.46538999107038,25757,4.934583996583453,1196.8123228636875,1.0829436657995886,1.1468435765034748,True,90,93,0.0,0.0,17,37,9,2,1
2024-06-23 19:00:00,uber,49.07131783265879,24214,4.895506731642851,1134.885479474684,0.9773936565623194,1.1241740315519948,True,89,92,0.0,0.0,9,15,9,1,2
2024-06-23 20:00:00,uber,50.750577783570094,23019,5.207112385420739,1165.0332334158738,1.018931317607194,1.096974238672401,True,88,90,0.0,0.0,7,37,9,0,1
2024-06-23 21:00:00,uber,48.70450901098901,22750,5.062654505494505,1110.4564395604395,0.911043956043956,1.0928021978021978,True,85,87,0.0,0.0,16,97,9,0,0
2024-06-23 22:00:00,uber,48.085133021792444,21613,5.216147226206449,1077.3257761532411,0.7862212557257205,1.0698884930365984,True,82,84,0.0,0.0,17,37,9,0,1
2024-06-23 23:00:00,uber,47.51840766088972,18118,5.489873054421018,1037.4089303455128,0.734878573794017,0.9597913677006292,True,79,79,0.0,0.0,16,88,9,0,1
2024-06-24 00:00:00,uber,54.367410015649455,12780,6.140179968701095,1029.6042253521127,0.9617895148669796,0.9085680751173708,False,78,78,0.0,0.0,5,97,9,0,0
2024-06-24 01:00:00,uber,55.99209344440419,8283,6.618294096341906,1041.581069660751,0.950642279367379,0.8775504044428347,False,79,79,0.0,0.0,12,88,9,0,1
2024-06-24 02:00:00,uber,62.0675054505814,5504,7.447003997093023,1068.0285247093022,1.0633502906976744,0.8827216569767442,False,78,78,0.0,0.0,15,97,9,0,0
2024-06-24 03:00:00,uber,55.8464693784278,4376,7.337726234003656,1036.1384826325411,1.079668647166362,0.7959323583180987,False,79,79,0.0,0.0,4,88,9,0,1
2024-06-24 04:00:00,uber,66.12606128038341,5842,8.308909619993154,1120.3206093803492,1.6281564532694284,0.8033635741184526,False,79,79,0.0,0.0,4,97,9,0,0
2024-06-24 05:00:00,uber,63.37043687046147,8538,7.795694542047317,1160.633169360506,1.52135277582572,0.9261829468259546,False,79,79,0.0,0.0,7,88,9,0,1
2024-06-24 06:00:00,uber,57.617239997084766,13721,6.475285329057649,1198.0376065884411,1.2485183295678155,0.9281940091830042,False,79,79,0.0,0.0,8,56,9,0,1
2024-06-24 07:00:00,uber,54.532498070615475,20732,5.209757379895813,1222.4348832722362,1.1602889253328188,0.86895861470191,False,77,77,0.0,0.0,8,37,9,0,1
2024-06-24 08:00:00,uber,51.54867769843969,26469,4.491742793456496,1186.808908534512,1.1094514337526915,0.9585836261286788,False,77,77,0.0,0.0,9,88,9,4,1
2024-06-24 09:00:00,uber,52.56918614462914,23702,4.657416673698422,1225.621297780778,1.2690907940258207,1.075858577335246,False,78,78,0.0,0.0,9,88,9,2,1
2024-06-24 10:00:00,uber,55.03787283706296,19707,4.913746384533415,1261.3856497691177,1.449311919622469,1.0463540873801187,False,77,77,0.0,0.0,23,15,9,8,2
2024-06-24 11:00:00,uber,56.512982530215865,18947,5.004537921570697,1303.968754948013,1.4644666701852536,1.078482081596031,False,78,78,0.0,0.0,12,82,9,10,1
2024-06-24 12:00:00,uber,57.20514053487153,19070,5.156878342947037,1311.7242265338227,1.4320194022024122,1.0511536444677505,False,76,76,0.0,0.0,15,97,9,10,0
2024-06-24 13:00:00,uber,58.05177771911299,18940,5.204778247096093,1331.0902851108765,1.4474904963041184,1.0271647307286167,False,78,78,0.0,0.0,24,97,9,3,0
2024-06-24 14:00:00,uber,59.39172831725409,20627,5.043730547340864,1399.8592136520094,1.4368289135598973,0.9897706889028942,False,78,78,0.0,0.0,23,88,9,5,1
2024-06-24 15:00:00,uber,60.88046056446936,20692,4.949721148269863,1494.347042335202,1.487485984921709,1.0008940653392615,False,76,76,0.0,0.0,26,88,9,10,1
2024-06-24 16:00:00,uber,61.477501581585486,20549,4.898888997031486,1511.5134556426103,1.5382466300063264,1.0070319723587522,False,76,76,0.0,0.0,30,88,9,4,1
2024-06-24 17:00:00,uber,56.06817777404734,23828,4.47664134631526,1360.824408259191,1.330274047339265,1.0564776733254997,False,74,74,0.0,0.0,12,97,9,2,0
2024-06-24 18:00:00,uber,53.45970490608808,24704,4.637325129533679,1222.2472474093263,1.307240527849741,1.1357877266839378,False,73,73,0.0,0.0,26,97,9,4,0
2024-06-24 19:00:00,uber,54.043269525267995,22202,5.173698315467075,1151.6062066480497,1.370524727502027,1.164512206107558,False,73,73,0.0,0.0,23,88,9,2,1
2024-06-24 20:00:00,uber,55.9211149000663,21114,5.628252344416027,1121.084398976982,1.4068575352846453,1.1969546272615326,False,73,73,0.0,0.0,15,100,9,1,0
2024-06-24 21:00:00,uber,54.587383905925755,21685,5.552941203596957,1100.7473368688034,1.3485081853816003,1.2768042425639845,False,73,73,0.0,0.0,9,97,9,0,0
2024-06-24 22:00:00,uber,52.545518462316636,19770,5.449464339908953,1061.4630247850278,1.1912018209408195,1.261026808295397,False,74,74,0.0,0.0,4,100,9,0,0
2024-06-24 23:00:00,uber,52.30645334783661,16548,5.6888270485859325,1079.1314962533236,1.157826927725405,1.149791515591008,False,74,74,0.0,0.0,0,90,9,0,1
2024-06-25 00:00:00,uber,54.880896826743594,11786,6.182083828270829,1077.8412523332768,1.0954276259969455,1.1000763617851688,False,73,73,0.0,0.0,5,0,9,0,2
2024-06-25 01:00:00,uber,46.569422347153896,7115,5.538871398453971,951.060997891778,0.7804638088545327,0.9791637385804638,False,72,72,0.0,0.0,7,4,9,0,2
2024-06-25 02:00:00,uber,47.21980707395498,4665,5.827365487674169,955.3993569131832,0.7391446945337621,0.9538049303322615,False,71,71,0.0,0.0,7,0,9,0,2
2024-06-25 03:00:00,uber,50.419621451104106,3804,6.436756046267087,982.1406414300736,0.9310804416403784,0.8289300736067298,False,71,71,0.0,0.0,2,0,9,0,2
2024-06-25 04:00:00,uber,58.94830823573156,5379,7.4612771890686,1041.7376835843093,1.3687302472578546,0.7959193158579662,False,71,71,0.0,0.0,8,0,9,0,2
2024-06-25 05:00:00,uber,58.490247536649846,8322,7.197541456380678,1072.016702715693,1.4167123287671233,0.9081350636866138,False,70,70,0.0,0.0,7,0,9,0,2
2024-06-25 06:00:00,uber,54.51782879435817,13329,6.080252081926625,1149.5349988746343,1.1860072023407608,0.9744917098056868,False,69,69,0.0,0.0,5,0,9,0,2
2024-06-25 07:00:00,uber,51.380636182902585,21629,4.828434971565954,1178.398862638125,1.1468731795274862,0.9224998844144436,False,70,70,0.0,0.0,9,0,9,0,2
2024-06-25 08:00:00,uber,51.34921391799628,27389,4.2303647449706085,1210.7910109898137,1.1734024608419438,1.0288984628865605,False,72,72,0.0,0.0,2,0,9,1,2
2024-06-25 09:00:00,uber,52.6818358974359,24375,4.344227282051282,1242.6724512820513,1.2833431794871797,1.1092102564102564,False,75,75,0.0,0.0,1,0,9,6,2
2024-06-25 10:00:00,uber,54.25748559326209,20303,4.634766783234005,1283.260010835837,1.3936787666847263,1.0863419199133133,False,80,80,0.0,0.0,7,0,9,8,2
2024-06-25 11:00:00,uber,55.8107031680096,19981,4.768732796156349,1299.5163905710424,1.4375436664831591,1.0953280616585757,False,83,82,0.0,0.0,15,4,9,9,2
2024-06-25 12:00:00,uber,55.753639245208255,20191,4.819933138527067,1315.991927096231,1.4341285721361003,1.0916745084443564,False,86,84,0.0,0.0,7,8,9,10,2
2024-06-25 13:00:00,uber,57.85563480534573,20652,4.875019368584156,1363.7932403641294,1.530480340887081,1.0648000193685845,False,87,84,0.0,0.0,11,0,9,10,2
2024-06-25 14:00:00,uber,59.07567988983163,22511,4.636874861178979,1402.5422682244237,1.5059228821465065,0.9959242148283062,False,89,85,0.0,0.0,9,15,9,10,2
2024-06-25 15:00:00,uber,60.89387954686255,22598,4.5752239136206745,1488.7076289937163,1.5234786264271174,0.9791242587839633,False,89,86,0.0,0.0,17,15,9,6,2
2024-06-25 16:00:00,uber,61.60417056960615,22419,4.594729024488157,1511.5857085507828,1.518782728935278,1.0265511396583256,False,88,85,0.0,0.0,4,15,9,9,2
2024-06-25 17:00:00,uber,61.30746205464132,25036,4.420520450551206,1452.8048410289184,1.6284450391436331,1.0540521648825691,False,89,86,0.0,0.0,5,15,9,5,2
2024-06-25 18:00:00,uber,58.42492503066028,25277,4.431792934288088,1352.043636507497,1.4474712188946477,1.1429659374134589,False,87,84,0.0,0.0,2,8,9,4,2
2024-06-25 19:00:00,uber,56.65620243563272,23731,4.942687202393494,1282.6277021617293,1.391940078378492,1.1894989675951286,False,86,83,0.0,0.0,6,8,9,1,2
2024-06-25 20:00:00,uber,59.07665112186537,22730,5.5961253849538055,1218.2253409590849,1.6020651121865377,1.2333369995600527,False,83,81,0.0,0.0,6,8,9,0,2
2024-06-25 21:00:00,uber,65.48558134740661,24254,5.924967015749979,1171.9875896759297,1.7423806382452378,1.2257462686567164,False,81,80,0.0,0.0,5,15,9,0,2
2024-06-25 22:00:00,uber,61.433530778674154,22808,5.884962732374606,1146.3409330059628,1.5405612065941776,1.2022426341634511,False,81,80,0.0,0.0,5,15,9,0,2
